,Model,balancing_technique,f1_mean_test,f1_mean_train,f1_sd_test,f1_sd_train,qwk_mean_test,qwk_mean_train,qwk_sd_test,qwk_sd_train,balanced_acc_mean_test,balanced_acc_mean_train,balanced_acc_sd_test,balanced_acc_sd_train,mcc_mean_test,mcc_mean_train,mcc_sd_test,mcc_sd_train
0,Random Forest balanced,no,0.31232707106840885,0.4821406960923838,0.005677760168725189,0.007192505388792563,0.39536812368576885,0.5846868234055533,0.017102176549925765,0.004560463309862114,0.3280951795852367,0.47997225542603517,0.00612624135383105,0.003372999862261795,0.2259643476771404,0.45496824030876776,0.010197881731522657,0.0040356656810376455
1,AdaBoost balanced,no,0.2990174268126903,0.3327664161803559,0.00996745488885004,0.002345024058296079,0.35742019642299716,0.4666739316033069,0.024983685878052404,0.01233629829392054,0.3152816448949464,0.3512597769933171,0.007202290269334549,0.004832710947754888,0.20205096971769784,0.2614593107103153,0.009227185846687996,0.011147743754650222
2,Gradient Boosting balanced,no,0.311919021984143,0.403310266633581,0.012594679066087253,0.008454947599351392,0.4003712936520061,0.5371199430572636,0.01029947144252371,0.0036674465715179623,0.32898841537312074,0.4068925104814093,0.008313128757724093,0.005810412516853605,0.22846154659263837,0.33668047379543753,0.008042267064103192,0.006045480791687379
3,Bagging balanced,no,0.29492167503049077,0.43655452837621656,0.007172599409034248,0.004588431389378555,0.3478784135402263,0.5324309235861014,0.02159809036973901,0.005007906167110966,0.3041506757553751,0.4321604192451881,0.007361312867215515,0.0023259536985736112,0.18019447229130647,0.3627625216088468,0.014249929705342258,0.006786777775687546
4,XGBoost balanced,no,0.3089060987490308,0.46008278966765975,0.009964268352814056,0.014497405797820422,0.3755504036514282,0.5655213286382359,0.014349266605548305,0.008298438262272317,0.32093981244154557,0.4591345977630287,0.008625029470401363,0.00960499395830356,0.20799615336005156,0.4125319763902439,0.011730048017485274,0.007692922688928777
5,LightGBM balanced,no,0.32931270648153366,0.4875947390840597,0.005736395289121281,0.01710767323550743,0.39503422175660285,0.5820174156816847,0.012006926100531922,0.008406753563252944,0.33846801753195266,0.4897115115620321,0.006132569027890805,0.017258521755680552,0.21770868788904668,0.3934850222792358,0.008683131833623741,0.003532183312059046
6,CatBoost balanced,no,0.3289153157681309,0.4912874030383332,0.01143853458929701,0.013039357869303688,0.3930057904114877,0.565437750206623,0.011344927558009978,0.004737826423047202,0.3380020015991402,0.484615112870623,0.008067146134615517,0.010012757219575643,0.22344199657219632,0.39775835314974695,0.009206066360208072,0.0060797420193740405
7,CatBoost_native_categorical balanced,no,0.3542680299802944,0.678422938486502,0.0070597983295507104,0.014217406128715651,0.4395516256303617,0.7933976044073121,0.024074803960325877,0.010345920467744588,0.36217862712065607,0.6521176924382129,0.004673810521576996,0.013325237094941421,0.27044202936169237,0.659950012008337,0.004153942104969808,0.011810238422452006
8,CatBoost_native_categorical_balanced balanced,no,0.3613712349841186,0.7595177496819874,0.011594626149955371,0.012475337495668084,0.4329293396973746,0.8108921211271234,0.021201078666680206,0.011100942583736027,0.3700758356510999,0.7616541754184035,0.010799374684310883,0.014954708604710933,0.26036301983095644,0.6741865596227898,0.008782892888232682,0.015655972715106964
