,Model,balancing_technique,f1_mean,f1_sd
0,Random Forest,None,0.33508980181145553,0.007897873693770251
1,AdaBoost,None,0.2840610899624597,0.01281388460290294
2,Gradient Boosting,None,0.3451938623599883,0.010997164531138009
3,Bagging,None,0.3185710050622868,0.004462093017473356
4,XGBoost,None,0.3385939644259169,0.004028961901784177
5,LightGBM,None,0.32971153061845315,0.010128733696016369
6,CatBoost,None,0.32426506562169577,0.003323758180033015
7,Random Forest,SMOTE (oversampling),0.35666416583105087,0.006793631249262233
8,AdaBoost,SMOTE (oversampling),0.2878036808455285,0.0037665071910763224
9,Gradient Boosting,SMOTE (oversampling),0.3457391716976808,0.009087443898400542
10,Bagging,SMOTE (oversampling),0.3282578093775124,0.010267099920320601
11,XGBoost,SMOTE (oversampling),0.3459977325194621,0.007807771480199876
12,LightGBM,SMOTE (oversampling),0.3372491401647748,0.0158449536425866
13,CatBoost,SMOTE (oversampling),0.3435566793652144,0.009277398731329616
14,Random Forest,RandomOverSampler (oversampling),0.35539367362716584,0.007467708313129784
15,AdaBoost,RandomOverSampler (oversampling),0.277451325958414,0.006124091573327197
16,Gradient Boosting,RandomOverSampler (oversampling),0.3297801016857811,0.004389109826474857
17,Bagging,RandomOverSampler (oversampling),0.3245633516043777,0.005269101358144202
18,XGBoost,RandomOverSampler (oversampling),0.3594783910301611,0.0053212271036576515
19,LightGBM,RandomOverSampler (oversampling),0.3424711794842713,0.008391384041240754
20,CatBoost,RandomOverSampler (oversampling),0.34590728362837525,0.012159515854611655
21,Random Forest,ADASYN (oversampling),0.35290771764457524,0.011894050889851362
22,AdaBoost,ADASYN (oversampling),0.2743657346735833,0.004555390572671906
23,Gradient Boosting,ADASYN (oversampling),0.32993545064952734,0.009655825137745454
24,Bagging,ADASYN (oversampling),0.319278779507317,0.011206017174631424
25,XGBoost,ADASYN (oversampling),0.33763700619134995,0.009809594124856276
26,LightGBM,ADASYN (oversampling),0.3337907285527782,0.010004029864109854
27,CatBoost,ADASYN (oversampling),0.3366195227671668,0.005847088184808408
28,Random Forest,BorderlineSMOTE (oversampling),0.34156878517016476,0.01037378736245479
29,AdaBoost,BorderlineSMOTE (oversampling),0.2718720968810273,0.006449051237826345
30,Gradient Boosting,BorderlineSMOTE (oversampling),0.33970223898706653,0.0027308392135288974
31,Bagging,BorderlineSMOTE (oversampling),0.3312503242249888,0.01302888872445648
32,XGBoost,BorderlineSMOTE (oversampling),0.3494525413738849,0.009965217749654864
33,LightGBM,BorderlineSMOTE (oversampling),0.34513850517051126,0.003999732746555957
34,CatBoost,BorderlineSMOTE (oversampling),0.34423035406615954,0.004369824208974023
35,Random Forest,RandomUnderSampler (undersampling),0.2913163699779787,0.010914185832579078
36,AdaBoost,RandomUnderSampler (undersampling),0.27493010827044234,0.0071883104105814645
37,Gradient Boosting,RandomUnderSampler (undersampling),0.29853820002262427,0.009869218466439194
38,Bagging,RandomUnderSampler (undersampling),0.26226095103173974,0.01900150965582044
39,XGBoost,RandomUnderSampler (undersampling),0.2758464882109394,0.0108824756535313
40,LightGBM,RandomUnderSampler (undersampling),0.2790370129723091,0.013380832486362695
41,CatBoost,RandomUnderSampler (undersampling),0.29682328822177795,0.012934864763260528
42,Random Forest,EditedNearestNeighbours (undersampling),0.17085997053431162,0.012214486051254048
43,AdaBoost,EditedNearestNeighbours (undersampling),0.17050279265627466,0.009656132323015446
44,Gradient Boosting,EditedNearestNeighbours (undersampling),0.19159642404518235,0.006021972278527406
45,Bagging,EditedNearestNeighbours (undersampling),0.18481194212779992,0.010898447824652095
46,XGBoost,EditedNearestNeighbours (undersampling),0.20337922924424948,0.004704579882562436
47,LightGBM,EditedNearestNeighbours (undersampling),0.19915950360883888,0.012551004849258762
48,CatBoost,EditedNearestNeighbours (undersampling),0.19477334889537384,0.012181761765595095
49,Random Forest,NearMiss (undersampling),0.1990448965546557,0.00681630215578947
50,AdaBoost,NearMiss (undersampling),0.208325872487428,0.0133635077086428
51,Gradient Boosting,NearMiss (undersampling),0.20977314754137527,0.0027654460236909307
52,Bagging,NearMiss (undersampling),0.20001537604112207,0.006215684355571127
53,XGBoost,NearMiss (undersampling),0.19547887483508958,0.003013385757978461
54,LightGBM,NearMiss (undersampling),0.19284436752217943,0.008097948116478721
55,CatBoost,NearMiss (undersampling),0.20549538318802898,0.008272527426446947
56,Random Forest,TomekLinks (undersampling),0.32638356574214356,0.015628829299504075
57,AdaBoost,TomekLinks (undersampling),0.2711982183519493,0.013041488870154515
58,Gradient Boosting,TomekLinks (undersampling),0.3296123119704164,0.013122646334834235
59,Bagging,TomekLinks (undersampling),0.32294774855924013,0.008720804913355902
60,XGBoost,TomekLinks (undersampling),0.33793529028421954,0.004265462716857122
61,LightGBM,TomekLinks (undersampling),0.3320187114299901,0.006628530677210952
62,CatBoost,TomekLinks (undersampling),0.31483550056823245,0.004324100878369802
63,Random Forest,SMOTEENN (combination),0.1695957681748008,0.007797108202554693
64,AdaBoost,SMOTEENN (combination),0.11670800449581278,0.016511387869125364
65,Gradient Boosting,SMOTEENN (combination),0.18408188894778527,0.007625111464471781
66,Bagging,SMOTEENN (combination),0.18472591251770748,0.009815337212947499
67,XGBoost,SMOTEENN (combination),0.22452957712921268,0.012071086528296984
68,LightGBM,SMOTEENN (combination),0.2173716955784592,0.01237375637843585
69,CatBoost,SMOTEENN (combination),0.18798845529064453,0.004924341376122083
70,Random Forest,SMOTETomek (combination),0.35188712934482536,0.008832388629812012
71,AdaBoost,SMOTETomek (combination),0.284568576858204,0.007943672529999349
72,Gradient Boosting,SMOTETomek (combination),0.3420595627973887,0.008663873016014042
73,Bagging,SMOTETomek (combination),0.3276434763728201,0.0131720727237909
74,XGBoost,SMOTETomek (combination),0.3460043434837699,0.00598669023842299
75,LightGBM,SMOTETomek (combination),0.33499488545228984,0.010369071352524989
76,CatBoost,SMOTETomek (combination),0.3443901596896226,0.003246418237801325
